100, 1000, 0.002, 31
100, 1000, 0.002, 31
100, 1000, 0.002, 28
100, 1000, 0.002, 28
100, 1000, 0.002, 29
100, 1000, 0.002, 31
100, 1000, 0.002, 26
100, 1000, 0.002, 30
100, 1000, 0.002, 25
100, 1000, 0.002, 26
100, 1000, 0.004, 27
100, 1000, 0.004, 30
100, 1000, 0.004, 34
100, 1000, 0.004, 30
100, 1000, 0.004, 30
100, 1000, 0.004, 29
100, 1000, 0.004, 26
100, 1000, 0.004, 31
100, 1000, 0.004, 27
100, 1000, 0.004, 29
100, 1000, 0.0075, 33
100, 1000, 0.0075, 35
100, 1000, 0.0075, 33
100, 1000, 0.0075, 28
100, 1000, 0.0075, 32
100, 1000, 0.0075, 30
100, 1000, 0.0075, 29
100, 1000, 0.0075, 30
100, 1000, 0.0075, 29
100, 1000, 0.0075, 32
100, 1000, 0.015, 27
100, 1000, 0.015, 34
100, 1000, 0.015, 30
100, 1000, 0.015, 32
100, 1000, 0.015, 34
100, 1000, 0.015, 34
100, 1000, 0.015, 29
100, 1000, 0.015, 31
100, 1000, 0.015, 33
100, 1000, 0.015, 30
100, 1000, 0.03, 31
100, 1000, 0.03, 30
100, 1000, 0.03, 29
100, 1000, 0.03, 31
100, 1000, 0.03, 26
100, 1000, 0.03, 28
100, 1000, 0.03, 26
100, 1000, 0.03, 29
100, 1000, 0.03, 30
100, 1000, 0.03, 31
100, 1000, 0.06, 28
100, 1000, 0.06, 29
100, 1000, 0.06, 25
100, 1000, 0.06, 25
100, 1000, 0.06, 26
100, 1000, 0.06, 26
100, 1000, 0.06, 27
100, 1000, 0.06, 25
100, 1000, 0.06, 24
100, 1000, 0.06, 28
